doc_id,category,zero_candidate_objects,objects,object_infos,error,selected_frame_positions,question
2068,post_selection_missing,,trash bin|backpack,"trash bin:cand=1,hyp=1,acc=1; backpack:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,15|22|28|34|41|48|54,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
2069,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,24|28|31|35|39|42|46,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
2077,detector_zero_candidate,trash bin,trash bin|bed,"trash bin:cand=0,hyp=0,acc=0; bed:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,4|10|16|22|29|35|41,"Measuring from the closest point of each object, what is the distance between the trash bin and the bed (in meters)?"
2081,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=5,acc=5; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,26|28|29|30|32|34|35,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
2087,detector_zero_candidate,towel,towel|window,"towel:cand=0,hyp=0,acc=0; window:cand=30,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,49|51|53|56|58|60|62,"Measuring from the closest point of each object, what is the distance between the towel and the window (in meters)?"
2091,detector_zero_candidate,towel,table|towel,"table:cand=30,hyp=6,acc=6; towel:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,18|20|21|22|24|26|27,"Measuring from the closest point of each object, what is the distance between the table and the towel (in meters)?"
2093,detector_zero_candidate,trash bin,trash bin|clock,"trash bin:cand=0,hyp=0,acc=0; clock:cand=6,hyp=2,acc=2",Selected frames did not include finite localizations for both objects.,53|54,"Measuring from the closest point of each object, what is the distance between the trash bin and the clock (in meters)?"
2117,detector_zero_candidate,trash bin,trash bin|sofa,"trash bin:cand=0,hyp=0,acc=0; sofa:cand=11,hyp=2,acc=2",Selected frames did not include finite localizations for both objects.,34|35|36|37|38,"Measuring from the closest point of each object, what is the distance between the trash bin and the sofa (in meters)?"
2118,detector_zero_candidate,trash bin,trash bin|counter,"trash bin:cand=0,hyp=0,acc=0; counter:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,35|36,"Measuring from the closest point of each object, what is the distance between the trash bin and the counter (in meters)?"
2119,detector_zero_candidate,trash bin,trash bin|refrigerator,"trash bin:cand=0,hyp=0,acc=0; refrigerator:cand=28,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,5|6,"Measuring from the closest point of each object, what is the distance between the trash bin and the refrigerator (in meters)?"
2122,detector_zero_candidate,trash bin,trash bin|bed,"trash bin:cand=0,hyp=0,acc=0; bed:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,25|26,"Measuring from the closest point of each object, what is the distance between the trash bin and the bed (in meters)?"
2123,detector_zero_candidate,trash bin,trash bin|window,"trash bin:cand=0,hyp=0,acc=0; window:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,6|7,"Measuring from the closest point of each object, what is the distance between the trash bin and the window (in meters)?"
2124,detector_zero_candidate,trash bin,trash bin|lamp,"trash bin:cand=0,hyp=0,acc=0; lamp:cand=30,hyp=9,acc=9",Selected frames did not include finite localizations for both objects.,3|9|15|20|26|32|38,"Measuring from the closest point of each object, what is the distance between the trash bin and the lamp (in meters)?"
2126,detector_zero_candidate,trash bin,trash bin|counter,"trash bin:cand=0,hyp=0,acc=0; counter:cand=30,hyp=6,acc=5",Selected frames did not include finite localizations for both objects.,44|45,"Measuring from the closest point of each object, what is the distance between the trash bin and the counter (in meters)?"
2131,detector_zero_candidate,trash bin,trash bin|window,"trash bin:cand=0,hyp=0,acc=0; window:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,16|19|22|24|27|30|33,"Measuring from the closest point of each object, what is the distance between the trash bin and the window (in meters)?"
2148,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,8|9|10,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
2152,detector_zero_candidate,trash bin,trash bin|nightstand,"trash bin:cand=0,hyp=0,acc=0; nightstand:cand=30,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,26|27|28|29|30|31,"Measuring from the closest point of each object, what is the distance between the trash bin and the nightstand (in meters)?"
2163,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=10,hyp=3,acc=3",Selected frames did not include finite localizations for both objects.,19|20|22|24|25|26|28,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
2170,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,37|38,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
2175,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=30,hyp=8,acc=8",Selected frames did not include finite localizations for both objects.,22|27|32|36|41|46|51,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
2176,detector_zero_candidate,trash bin,trash bin|window,"trash bin:cand=0,hyp=0,acc=0; window:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,27|28|29|30|31|32,"Measuring from the closest point of each object, what is the distance between the trash bin and the window (in meters)?"
2177,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=5,acc=5; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,53|54|55|56|58|59|60,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
2193,detector_zero_candidate,trash bin,trash bin|clock,"trash bin:cand=0,hyp=0,acc=0; clock:cand=3,hyp=3,acc=3",Selected frames did not include finite localizations for both objects.,3|4,"Measuring from the closest point of each object, what is the distance between the trash bin and the clock (in meters)?"
2194,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=4,hyp=1,acc=1",Selected frames did not include finite localizations for both objects.,28|29,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
2197,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=6,acc=6; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,8|9|10,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
2207,detector_zero_candidate,trash bin,trash bin|window,"trash bin:cand=0,hyp=0,acc=0; window:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,12|17|23|28|33|39|44,"Measuring from the closest point of each object, what is the distance between the trash bin and the window (in meters)?"
2209,detector_zero_candidate,trash bin,trash bin|window,"trash bin:cand=0,hyp=0,acc=0; window:cand=20,hyp=4,acc=4",Selected frames did not include finite localizations for both objects.,10|11,"Measuring from the closest point of each object, what is the distance between the trash bin and the window (in meters)?"
2212,detector_zero_candidate,trash bin,trash bin|refrigerator,"trash bin:cand=0,hyp=0,acc=0; refrigerator:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,2|8|15|21|27|34|40,"Measuring from the closest point of each object, what is the distance between the trash bin and the refrigerator (in meters)?"
2215,detector_zero_candidate,trash bin,trash bin|microwave,"trash bin:cand=0,hyp=0,acc=0; microwave:cand=29,hyp=10,acc=9",Selected frames did not include finite localizations for both objects.,36|37,"Measuring from the closest point of each object, what is the distance between the trash bin and the microwave (in meters)?"
2221,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=10,hyp=3,acc=3",Selected frames did not include finite localizations for both objects.,9|15|22|28|34|41|47,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
2226,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=21,hyp=8,acc=8",Selected frames did not include finite localizations for both objects.,7|16|24|33|42|50|59,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
2232,detector_zero_candidate,trash bin,trash bin|nightstand,"trash bin:cand=0,hyp=0,acc=0; nightstand:cand=28,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,19|20,"Measuring from the closest point of each object, what is the distance between the trash bin and the nightstand (in meters)?"
2233,detector_zero_candidate,trash bin,trash bin|microwave,"trash bin:cand=0,hyp=0,acc=0; microwave:cand=7,hyp=4,acc=4",Selected frames did not include finite localizations for both objects.,8|9,"Measuring from the closest point of each object, what is the distance between the trash bin and the microwave (in meters)?"
2234,detector_zero_candidate,trash bin,trash bin|radiator,"trash bin:cand=0,hyp=0,acc=0; radiator:cand=21,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,30|31,"Measuring from the closest point of each object, what is the distance between the trash bin and the radiator (in meters)?"
2898,detector_zero_candidate,stove,table|stove,"table:cand=30,hyp=5,acc=5; stove:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,2|5|8|12|15|18|21,"Measuring from the closest point of each object, what is the distance between the table and the stove (in meters)?"
3379,detector_zero_candidate,bucket,bucket|power strip,"bucket:cand=0,hyp=0,acc=0; power strip:cand=16,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,0|4|8|12|16|20|24,"Measuring from the closest point of each object, what is the distance between the bucket and the power strip (in meters)?"
4904,detector_zero_candidate,trash bin,trash bin|tv,"trash bin:cand=0,hyp=0,acc=0; tv:cand=30,hyp=6,acc=4",Selected frames did not include finite localizations for both objects.,0|6|12|18|23|29|35,"Measuring from the closest point of each object, what is the distance between the trash bin and the tv (in meters)?"
4906,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=23,hyp=4,acc=4",Selected frames did not include finite localizations for both objects.,53|54,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4937,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=19,hyp=4,acc=4",Selected frames did not include finite localizations for both objects.,9|12|15|18|22|25|28,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
4938,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,38|39|40|41,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4941,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=28,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,53|54|55|56,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
4951,detector_zero_candidate,trash bin,trash bin|tv,"trash bin:cand=0,hyp=0,acc=0; tv:cand=26,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,50|51,"Measuring from the closest point of each object, what is the distance between the trash bin and the tv (in meters)?"
4952,detector_zero_candidate,trash bin,trash bin|closet,"trash bin:cand=0,hyp=0,acc=0; closet:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,5|11|17|24|30|36|42,"Measuring from the closest point of each object, what is the distance between the trash bin and the closet (in meters)?"
4963,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=25,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,1|4|6|9|12|14|17,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4964,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=8,hyp=3,acc=3",Selected frames did not include finite localizations for both objects.,18|19,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
4970,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=5,acc=5; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,22|26|29|33|37|40|44,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
4977,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,25|29|34|38|42|47|51,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
4978,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,8|12|17|22|26|30|35,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4979,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,50|51,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
4980,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,19|20|22|24|25|26|28,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4981,detector_zero_candidate,trash bin,trash bin|keyboard,"trash bin:cand=0,hyp=0,acc=0; keyboard:cand=20,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,29|30,"Measuring from the closest point of each object, what is the distance between the trash bin and the keyboard (in meters)?"
4983,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=22,hyp=4,acc=4",Selected frames did not include finite localizations for both objects.,33|34,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
4988,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=6,acc=6; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,17|23|28|34|40|45|51,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
5013,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=22,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,43|45|47|49|51|53|55,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
5016,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=30,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,15|21|27|34|40|46|52,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
5017,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,35|36|37|38|39|40,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
5025,detector_zero_candidate,trash bin,trash bin|backpack,"trash bin:cand=0,hyp=0,acc=0; backpack:cand=9,hyp=2,acc=2",Selected frames did not include finite localizations for both objects.,26|27|28,"Measuring from the closest point of each object, what is the distance between the trash bin and the backpack (in meters)?"
5026,detector_zero_candidate,trash bin,trash bin|mirror,"trash bin:cand=0,hyp=0,acc=0; mirror:cand=30,hyp=5,acc=5",Selected frames did not include finite localizations for both objects.,14|15|16,"Measuring from the closest point of each object, what is the distance between the trash bin and the mirror (in meters)?"
5027,detector_zero_candidate,trash bin,trash bin|door,"trash bin:cand=0,hyp=0,acc=0; door:cand=30,hyp=6,acc=6",Selected frames did not include finite localizations for both objects.,39|40|41|42|43|44|45,"Measuring from the closest point of each object, what is the distance between the trash bin and the door (in meters)?"
5036,detector_zero_candidate,trash bin,table|trash bin,"table:cand=30,hyp=6,acc=6; trash bin:cand=0,hyp=0,acc=0",Selected frames did not include finite localizations for both objects.,21|28|35|42|48|55|62,"Measuring from the closest point of each object, what is the distance between the table and the trash bin (in meters)?"
653,detector_zero_candidate,heater,heater|bookshelf,"heater:cand=0,hyp=0,acc=0; bookshelf:cand=30,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,33|34|35,"Measuring from the closest point of each object, what is the distance between the heater and the bookshelf (in meters)?"
721,detector_zero_candidate,bucket,bucket|whiteboard,"bucket:cand=0,hyp=0,acc=0; whiteboard:cand=11,hyp=3,acc=3",Selected frames did not include finite localizations for both objects.,13|19|25|32|38|44|50,"Measuring from the closest point of each object, what is the distance between the bucket and the whiteboard (in meters)?"
750,detector_zero_candidate,pan,pan|laptop,"pan:cand=0,hyp=0,acc=0; laptop:cand=8,hyp=7,acc=7",Selected frames did not include finite localizations for both objects.,44|46|47|49|51|52|54,"Measuring from the closest point of each object, what is the distance between the pan and the laptop (in meters)?"
